ESTABLISHMENT DATA SEASONALLY ADJUSTED            ,,,,,,,,,,,,
[In thousands],,,,,,,,,,,,
State,Total,Total,Total,Total,Construction,Construction,Construction,Construction,Manufacturing,Manufacturing,Manufacturing,Manufacturing
New York,"8,806.70","8,924.60","8,929.90","8,934.40",303.7,319.6,315.9,313,454.6,445,445.4,442.5
North Carolina,"4,027.30","4,064.80","4,090.60","4,084.10",169.4,165.5,165.3,166.9,442.8,444,446.3,443
North Dakota,437.7,451.3,452.3,455.2,30,32.5,32.4,32.4,25.5,25.8,26.2,25.9
Ohio,"5,170.80","5,202.40","5,202.60","5,190.60",176.8,174.1,175.2,171.6,657.3,660,659.5,660
Oklahoma,"1,615.30","1,624.50","1,625.40","1,631.40",68.8,67.3,68.8,69.6,-,-,-,-
Oregon,"1,642.60","1,672.90","1,674.00","1,679.40",67.9,72.1,72.8,73.3,171.8,175.3,175.6,175.8
Pennsylvania,"5,738.20","5,763.90","5,761.80","5,771.50",225.3,227.2,228.7,226.9,566.8,565.4,566.5,565.6
Rhode Island,465.1,468.8,469.2,470.6,15.3,15.6,15.9,15.7,40.2,40.1,40,40.5
South Carolina,"1,873.00","1,897.70","1,902.50","1,907.10",78.5,81.7,83.4,83.3,220.9,221.4,223.9,224.5
South Dakota,415.7,422.8,420.3,422.2,20.3,20.6,20.2,20.8,41.7,41.8,41.5,42
Tennessee,"2,732.80","2,749.90","2,762.60","2,772.00",109.2,106,107.1,108.3,317,320.6,321.9,323.8
Texas,"10,993.60","11,225.30","11,239.10","11,267.80",594.6,612,607.9,607.9,863.7,868,869.1,872.6
Utah,"1,263.30","1,282.10","1,290.30","1,291.40",68.1,69,69.4,70.7,117.9,120,121.2,122.2
Vermont,305.9,306.9,307,309.2,14,13.9,14.5,14.5,32.1,32.9,32.3,32.7
Virginia,"3,746.10","3,772.90","3,766.00","3,771.90",173.5,174.6,172.1,172.7,232.4,234.5,232.4,233
Washington,"2,890.10","2,944.40","2,937.00","2,931.00",140.6,143.9,141.6,140.5,284.2,285.9,284.5,283.1
West Virginia,766.3,775.4,774.9,775.4,34.3,35.5,36.7,36.1,49,49,48.9,49
Wisconsin,"2,793.60","2,819.00","2,834.00","2,834.20",92.8,95.1,94.2,96.8,455.3,457.8,463.4,466.8
Wyoming,290.2,289.2,291.6,292.5,21.9,23,22.9,23,9.6,9.8,9.9,9.8
Puerto Rico,938.5,889.4,896.7,897.7,34.7,28.2,29,29,78.4,74.4,75.2,75.9
